,40,306,436,804,1826,2062,2762,2779,2894,3128,3303,3555,4342,4447,4464,5048,5308,5788,5908,5945,6279,6741,6824,7624,7882,7931,8599,8686,9868,9920,10006,10125,11541,11724,12135,12317,12444
degree,66,155,18,35,45,68,44,50,30,71,32,28,88,19,30,24,9,76,41,30,11,41,35,42,8,40,44,15,56,38,34,53,50,22,66,73,45
complete,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True
x,89.33128153717627,103.06238038829576,103.0312948265726,110.5412655105032,133.77188137728322,142.3847998780488,152.28674826912834,151.30521351798265,154.07865090036015,160.76990908337478,158.12870275669198,160.34297909577054,178.60807655237792,170.3349455354805,172.84907317591998,180.0828625954199,182.77963659147866,198.99590020353645,196.41809112511623,198.93285437158468,200.94137526059762,208.4127244371777,210.59827030716724,219.7560708758898,220.27256853725854,222.37126553788977,229.98741531200838,228.075203492516,245.916321417172,243.684905863582,246.1274350686499,247.09594496802424,268.2502445127919,272.99212967525193,279.6616512906675,286.37439914542506,287.96628815427
y,216.65037371205793,262.5818606504415,197.41310111699,187.85652491450907,232.04499790048294,283.3714595121951,165.71766589739036,210.48260097147582,258.56735846338535,234.7148319244157,133.15543427886539,126.88429897909579,299.2131643229579,213.51821942916996,125.26994043820464,157.3844079389313,187.83486967418548,119.2889844167409,246.23237255914864,225.98599863387975,117.91614454482279,299.3800651490379,128.466771331058,286.1674045187249,185.07821711131555,257.86900185835225,170.39625359202935,201.03491767640767,271.5728552505586,189.53774378407124,132.04789302059496,228.87473224503535,147.19558870404026,251.7259431131019,229.1840844661677,194.89858612052453,217.33788062442608
z,22.501860206070734,12.240293283283593,34.513009994121106,15.536710307767464,23.936693260550072,25.128893170731708,15.273247292739214,6.183232740801984,6.440303961584634,15.894802420023204,33.75912824610467,9.769901798736024,21.444505451098124,32.00898716941608,32.397667304828765,5.730022290076336,26.005694235588976,11.084314845439511,31.516353755553254,13.012028415300545,35.729594162612926,28.080419569865427,24.535829351535835,32.483707830393065,28.430535418583254,27.85643609333058,10.5592916622968,3.226720598717035,27.23171050111714,26.47362637947082,20.868553203661328,22.828615281050155,28.853508737592612,33.538867189249714,18.42663784939667,29.332316192721382,15.705581634527087
eigen0,27.57002301852634,57.3278666797609,3.7540579941164536,5.295769756110511,15.252068062514855,15.66434814213336,20.116626374624857,12.571583897713776,8.067201561673953,14.962019831687739,3.2360141419140414,3.3349542526496077,22.253773283432718,8.489183377921542,7.822935529507917,10.767720144815401,4.060537187186243,16.809372968425958,13.802886437521005,14.501517339578411,2.486470099136261,6.27957087682785,6.373461095975492,9.265985977942563,2.893692414909501,14.711349761861587,18.46610993385813,5.973346484817657,11.340003566168656,17.663170746716016,5.644755754438036,14.180165951172707,8.514425873818524,8.234872133277378,28.909899379642383,15.27504983477571,6.484177296822529
eigen1,5.194786257052555,21.748070947934682,2.54497408935552,2.8275462042609387,2.7294048438820147,8.015262652156322,2.0055634237082662,6.678746309914563,3.193242773221225,10.340694759899575,2.724127585326154,1.6612656533859735,10.1848484428466,3.945901811224103,2.0382298882085492,3.036658397505607,1.3046945434372752,9.7474679972338,6.960273096012334,3.1452013548139477,1.7516336889745427,5.1377995041272655,2.564577068762164,2.9065080991565386,1.3871764086170544,2.489628949883951,3.6201538086659735,2.482873308041318,5.041764742196597,3.3661087033997283,2.73496747873908,5.564928456611922,3.339410262807058,2.207582726158944,4.856669877466946,4.6589441249507635,5.507230494710577
eigen2,0.6508091222678933,3.3973310167943755,1.7338499530256435,1.529857896925523,0.8523837987912206,1.0920421093170833,1.0111237200027066,1.4834335932284777,0.9962921125016865,1.4380664073664615,0.9236394679746895,1.03823959780123,2.156264152149563,0.6172307640256145,1.8976568141097239,1.6937382749414005,0.11321149801198271,2.23753381052116,1.4842087155544104,0.47793376992953013,0.6516039104888615,2.74713119492334,0.7451705060419672,0.6871743553538148,0.3810087475793199,0.8250442241356126,1.6995351162138053,0.6980869369123911,1.096207656082098,1.180120092332042,1.0308440492469182,0.8934505098422582,2.2928390076521143,1.7573193165350098,1.1376011368921193,1.3017553874929295,1.4356817056671165
Volume,184.661709498,1671.314458478,174.942672156,210.52771893199997,244.93002571399998,421.67251960000004,289.668451574,497.57357312799996,214.17878586999998,620.475685548,128.712965434,105.778094246,650.918384524,196.38626248199998,241.741770078,336.8237809,20.517967721999998,808.4799211159999,497.7278435619999,188.20992948000003,73.998384842,408.86807357800006,150.67079053999998,166.149257418,55.897320586,249.043903954,490.32286273,144.294279268,322.219513148,386.755978038,179.77647908799997,305.558306276,367.83213813400005,229.60582927000002,336.669510466,349.011145186,280.00083771
skew,0.3857506835036549,0.01875577724116631,0.12487216275439063,0.19815100217582154,0.5363232920325504,-0.2687689732827037,0.6701905735407157,-0.2092295599547289,0.17365484811698734,-0.5362688193040502,-0.6204745607074197,0.3796345304542536,-0.07406879448084311,-0.1558881445994481,0.7040285910316759,0.5665335804571726,0.0488966548636982,-0.2937117833549422,-0.16629798902323387,0.35374794198440346,-0.3899809779485943,-0.47675121677490767,0.13531479656109566,0.24943177165878594,-0.04203392319594235,0.5585547253250295,0.595053193339393,0.09718330017967233,-0.040235399090889586,0.542532455563701,0.07510530144205729,-0.0030999838962939763,0.5661320068572686,0.678903562268485,0.5065899392183668,0.310651866845472,-0.6476852512817001
stretch,0.846358601536811,0.7565633058820459,0.3203970321673149,0.46252162088154014,0.7635968680496612,0.7359637663208252,0.7758056960454017,0.6564902599263903,0.648575616191407,0.6899766836070287,0.46574814867682174,0.4420389872752807,0.688721480802605,0.7303559605727338,0.5074798970761525,0.603392181780966,0.8330242040334798,0.6351544559184414,0.6720840576731335,0.8184579915226047,0.48808221211022185,0.33858396887272796,0.6580676752696898,0.7276749120773421,0.6371381667091004,0.7631832843664037,0.6966266949756187,0.6581418782066428,0.6890863280482188,0.7415189145946832,0.5726596448347165,0.7489879365915922,0.48106962018792077,0.5380479365167263,0.8016319525090982,0.7080735984371268,0.529454480382772
oblateness,-0.3373161117143415,-0.015316223479086788,-0.10261502172161507,-0.16447737064054146,-0.5111940329904661,0.22638546660202397,-0.7639777359263631,0.1740137221636644,-0.1435815218397365,0.5111198469778895,0.6457534497378863,-0.3311561560111034,0.06061278771027667,0.12857176987543917,-0.9293907807623223,-0.5543760312068984,-0.03996292709942317,0.24900291916863715,0.13735247671493234,-0.305596437925859,0.3416057505588308,0.43607067874482985,-0.11132266320593931,-0.20914720975452383,0.034345300342041085,-0.5425442923733023,-0.5998021178804454,-0.07965787987774264,0.03287376609977488,-0.5197300265273833,-0.06146489697120405,0.002531136162068126,-0.5537724065601068,-0.7925470872873595,-0.47232185690353345,-0.2646390261250072,0.7038198250644332
angle_l_z,0.12139079234808481,0.5537207081090302,1.8489715683406036,2.873461655951395,0.4487654822197321,2.335981042298294,2.825673370059109,2.1717642003396795,2.766810644982358,0.8596362132498112,0.8461926125289807,2.267212605275975,1.5401077842893451,2.9026723412984854,3.0463514994073995,0.17225032307910343,0.18030958884319256,1.8797513878292713,2.813482699377829,1.4069354802877356,1.5830810628228895,0.20132812969453664,1.729785541850446,2.1106827220285362,0.6266725980671504,0.6192532272267884,2.5600780700148955,1.0176708074758376,1.4925278054216178,2.5586762372369063,2.7191613969550357,1.486326511839154,0.12086177907397512,2.3426646972513234,0.4977128914925207,1.378188105028764,1.0360391590983082
